lane_id,origin,destination,distance_km,travel_time_hours,toll_cost_eur,traffic_factor
LN0001,Braunschweig,Mannheim,571,7.9,48.6,1.25
LN0002,Braunschweig,Hamburg,533,7.3,38.1,1.16
LN0003,Mannheim,Chemnitz,258,5.2,26.8,0.92
LN0004,Kassel,Magdeburg,169,3.4,13.0,1.08
LN0005,Berlin,Monchengladbach,552,8.5,46.1,1.17
LN0006,Lubeck,Stuttgart,347,5.9,36.3,1.22
LN0007,Munster,Dresden,544,7.4,50.4,1.12
LN0008,Halle,Mannheim,188,3.6,10.2,1.01
LN0009,Kiel,Munster,273,4.0,30.6,1.15
LN0010,Chemnitz,Dortmund,317,5.6,31.4,1.18
LN0011,Leipzig,Bremen,655,10.1,51.0,1.05
LN0012,Wiesbaden,Stuttgart,711,10.5,60.2,1.26
LN0013,Berlin,Hamburg,436,7.4,40.3,1.23
LN0014,Kiel,Wiesbaden,159,3.5,10.6,1.21
LN0015,Dresden,Gelsenkirchen,724,9.7,66.4,1.08
LN0016,Wuppertal,Berlin,410,6.1,37.4,1.14
LN0017,Krefeld,Kiel,539,8.6,49.2,0.9
LN0018,Mannheim,Cologne,175,2.9,9.7,1.14
LN0019,Leipzig,Duisburg,146,2.7,13.1,0.99
LN0020,Freiburg,Augsburg,557,8.6,43.8,1.22
LN0021,Bielefeld,Bremen,194,4.0,15.1,0.95
LN0022,Hanover,Oberhausen,265,4.0,24.1,0.95
LN0023,Dresden,Lubeck,122,2.8,13.8,1.2
LN0024,Lubeck,Dusseldorf,496,8.2,48.1,1.17
LN0025,Duisburg,Lubeck,177,4.0,18.6,0.92
LN0026,Cologne,Dusseldorf,467,7.7,46.1,1.15
LN0027,Nuremberg,Lubeck,457,6.7,45.6,1.01
LN0028,Hanover,Wuppertal,301,4.6,31.7,1.28
LN0029,Karlsruhe,Bremen,214,4.4,22.8,1.26
LN0030,Chemnitz,Mainz,131,2.6,18.5,1.2
LN0031,Oberhausen,Magdeburg,506,7.3,49.5,1.08
LN0032,Karlsruhe,Mainz,286,4.6,25.3,1.03
LN0033,Munster,Essen,700,9.3,61.7,1.18
LN0034,Mainz,Stuttgart,418,6.8,38.6,0.9
LN0035,Wiesbaden,Augsburg,259,5.1,26.2,1.24
LN0036,Bielefeld,Essen,398,5.9,27.0,1.26
LN0037,Bremen,Wiesbaden,458,7.6,38.9,1.11
LN0038,Freiburg,Duisburg,443,6.0,38.6,1.18
LN0039,Aachen,Chemnitz,468,7.3,42.2,1.03
LN0040,Rostock,Bremen,576,8.2,49.6,1.26
LN0041,Wuppertal,Dresden,417,6.9,30.8,1.23
LN0042,Munster,Bonn,788,10.9,66.7,1.09
LN0043,Munster,Rostock,564,9.0,42.0,1.27
LN0044,Erfurt,Karlsruhe,155,3.6,8.0,1.14
LN0045,Erfurt,Augsburg,310,4.4,30.6,0.98
LN0046,Mannheim,Duisburg,407,7.0,31.9,1.23
LN0047,Nuremberg,Essen,143,2.4,7.8,1.1
LN0048,Erfurt,Dortmund,467,7.6,36.5,1.25
LN0049,Gelsenkirchen,Nuremberg,426,6.4,33.9,1.0
LN0050,Wuppertal,Erfurt,150,3.2,14.2,1.07
LN0051,Karlsruhe,Essen,323,4.7,28.2,1.0
LN0052,Cologne,Aachen,722,9.5,56.7,1.18
LN0053,Berlin,Dresden,685,10.4,57.5,1.17
LN0054,Halle,Wiesbaden,258,5.0,29.2,1.01
LN0055,Erfurt,Mainz,259,3.9,17.5,1.22
LN0056,Hanover,Bonn,643,8.6,53.0,1.11
LN0057,Gelsenkirchen,Dresden,388,6.3,26.9,1.24
LN0058,Dresden,Oberhausen,118,2.1,7.1,1.03
LN0059,Freiburg,Stuttgart,222,4.6,27.8,1.23
LN0060,Cologne,Monchengladbach,657,9.4,57.7,1.25
LN0061,Hanover,Hamburg,495,7.0,44.4,1.02
LN0062,Wuppertal,Munich,405,6.7,30.5,1.3
LN0063,Braunschweig,Bonn,275,4.2,28.0,1.16
LN0064,Stuttgart,Dortmund,623,8.4,56.2,1.08
LN0065,Hamburg,Monchengladbach,529,7.2,43.5,1.17
LN0066,Wiesbaden,Braunschweig,500,8.2,41.5,1.17
LN0067,Kiel,Munich,617,8.8,54.7,1.01
LN0068,Chemnitz,Frankfurt,590,9.3,47.4,1.15
LN0069,Nuremberg,Freiburg,395,6.0,29.8,1.24
LN0070,Erfurt,Oberhausen,399,5.8,29.2,1.13
LN0071,Chemnitz,Berlin,613,9.0,46.2,1.24
LN0072,Frankfurt,Munster,255,4.2,17.8,1.22
LN0073,Monchengladbach,Duisburg,176,4.1,10.1,1.12
LN0074,Bochum,Oberhausen,785,11.3,65.8,1.18
LN0075,Dortmund,Berlin,368,5.6,38.4,1.09
LN0076,Frankfurt,Monchengladbach,540,8.7,53.1,1.29
