shipment_id,origin,destination,weight_kg,volume_m3,priority,deadline,value_eur
SH0001,Braunschweig,Mannheim,592,4.1,5,2026-01-17T00:00:00,6246
SH0002,Braunschweig,Hamburg,852,1.7,2,2026-01-28T00:00:00,5728
SH0003,Mannheim,Chemnitz,341,4.2,1,2026-01-22T00:00:00,7939
SH0004,Kassel,Magdeburg,413,1.0,3,2026-01-19T00:00:00,3695
SH0005,Berlin,Monchengladbach,976,3.5,5,2026-01-25T00:00:00,9817
SH0006,Lubeck,Stuttgart,843,2.4,5,2026-01-16T00:00:00,7933
SH0007,Munster,Dresden,424,3.3,4,2026-01-19T00:00:00,2763
SH0008,Halle,Mannheim,301,2.7,4,2026-01-26T00:00:00,8722
SH0009,Kiel,Munster,508,3.6,5,2026-01-20T00:00:00,7356
SH0010,Chemnitz,Dortmund,569,1.6,2,2026-01-22T00:00:00,7493
SH0011,Leipzig,Bremen,496,3.6,2,2026-01-28T00:00:00,6414
SH0012,Wiesbaden,Stuttgart,624,3.4,4,2026-01-18T00:00:00,1771
SH0013,Berlin,Hamburg,692,1.4,3,2026-01-18T00:00:00,8100
SH0014,Kiel,Wiesbaden,394,1.5,4,2026-01-21T00:00:00,9003
SH0015,Dresden,Gelsenkirchen,960,3.4,4,2026-01-18T00:00:00,4854
SH0016,Wuppertal,Berlin,852,4.2,4,2026-01-18T00:00:00,2255
SH0017,Krefeld,Kiel,901,3.2,4,2026-01-24T00:00:00,3948
SH0018,Mannheim,Cologne,602,2.2,2,2026-01-26T00:00:00,7999
SH0019,Leipzig,Duisburg,711,3.9,5,2026-01-23T00:00:00,4276
SH0020,Freiburg,Augsburg,568,1.1,1,2026-01-22T00:00:00,2891
SH0021,Bielefeld,Bremen,655,1.9,5,2026-01-21T00:00:00,2731
SH0022,Hanover,Oberhausen,864,2.4,4,2026-01-20T00:00:00,5982
SH0023,Dresden,Lubeck,181,4.1,5,2026-01-16T00:00:00,8395
SH0024,Lubeck,Dusseldorf,185,3.4,1,2026-01-21T00:00:00,4595
SH0025,Duisburg,Lubeck,986,1.3,4,2026-01-27T00:00:00,8377
SH0026,Cologne,Dusseldorf,583,3.8,3,2026-01-28T00:00:00,2962
SH0027,Nuremberg,Lubeck,696,4.6,4,2026-01-17T00:00:00,9157
SH0028,Hanover,Wuppertal,307,3.6,3,2026-01-17T00:00:00,2438
SH0029,Karlsruhe,Bremen,251,2.4,1,2026-01-22T00:00:00,6410
SH0030,Chemnitz,Mainz,836,2.6,5,2026-01-17T00:00:00,9340
SH0031,Oberhausen,Magdeburg,127,4.0,2,2026-01-29T00:00:00,2899
SH0032,Karlsruhe,Mainz,950,1.2,1,2026-01-16T00:00:00,9809
SH0033,Munster,Essen,736,4.9,5,2026-01-19T00:00:00,6267
SH0034,Mainz,Stuttgart,989,4.4,3,2026-01-26T00:00:00,8931
SH0035,Wiesbaden,Augsburg,233,1.5,3,2026-01-28T00:00:00,4588
SH0036,Bielefeld,Essen,318,3.6,1,2026-01-18T00:00:00,8953
SH0037,Bremen,Wiesbaden,891,4.5,1,2026-01-23T00:00:00,6484
SH0038,Freiburg,Duisburg,885,3.7,3,2026-01-19T00:00:00,3925
SH0039,Aachen,Chemnitz,818,2.8,5,2026-01-29T00:00:00,5486
SH0040,Rostock,Bremen,363,3.7,5,2026-01-28T00:00:00,9668
SH0041,Wuppertal,Dresden,833,4.6,1,2026-01-19T00:00:00,9299
SH0042,Munster,Bonn,863,1.5,5,2026-01-19T00:00:00,2176
SH0043,Munster,Rostock,182,2.2,5,2026-01-22T00:00:00,5575
SH0044,Erfurt,Karlsruhe,213,4.2,5,2026-01-28T00:00:00,1159
SH0045,Erfurt,Augsburg,228,1.6,2,2026-01-25T00:00:00,2402
SH0046,Mannheim,Duisburg,640,3.7,5,2026-01-19T00:00:00,2140
SH0047,Nuremberg,Essen,783,0.5,1,2026-01-23T00:00:00,8364
SH0048,Erfurt,Dortmund,499,3.4,1,2026-01-16T00:00:00,4319
SH0049,Gelsenkirchen,Nuremberg,409,1.8,4,2026-01-16T00:00:00,7256
SH0050,Wuppertal,Erfurt,885,2.6,1,2026-01-22T00:00:00,1492
SH0051,Karlsruhe,Essen,393,4.0,4,2026-01-20T00:00:00,8351
SH0052,Cologne,Aachen,636,1.9,3,2026-01-21T00:00:00,6594
SH0053,Berlin,Dresden,877,1.0,4,2026-01-16T00:00:00,1107
SH0054,Halle,Wiesbaden,850,4.6,3,2026-01-26T00:00:00,8081
SH0055,Erfurt,Mainz,542,2.4,1,2026-01-24T00:00:00,8201
SH0056,Hanover,Bonn,967,1.2,3,2026-01-21T00:00:00,8650
SH0057,Gelsenkirchen,Dresden,770,4.3,5,2026-01-21T00:00:00,5041
SH0058,Dresden,Oberhausen,340,3.0,4,2026-01-21T00:00:00,8308
SH0059,Freiburg,Stuttgart,578,4.4,4,2026-01-22T00:00:00,2226
SH0060,Cologne,Monchengladbach,489,4.0,4,2026-01-18T00:00:00,1776
SH0061,Hanover,Hamburg,932,2.8,1,2026-01-19T00:00:00,1589
SH0062,Wuppertal,Munich,477,3.2,5,2026-01-16T00:00:00,6951
