truck_id,capacity_weight_kg,capacity_volume_m3,cost_per_km_eur,co2_per_km_kg,location,available
TR0001,1500,10.0,1.63,0.75,Nuremberg,true
TR0002,1000,4.0,1.24,1.19,Bielefeld,true
TR0003,800,7.5,1.47,0.56,Frankfurt,true
TR0004,1500,7.5,1.7,0.68,Magdeburg,true
TR0005,1200,5.0,1.73,0.55,Kiel,true
TR0006,2000,7.5,1.25,0.77,Mainz,true
TR0007,1000,4.0,1.32,0.75,Bonn,true
TR0008,1500,7.5,1.45,0.72,Rostock,true
TR0009,1500,4.0,1.46,1.13,Dortmund,true
TR0010,2000,6.0,0.81,1.06,Rostock,true
TR0011,800,4.0,1.34,0.74,Mannheim,true
TR0012,1000,7.5,1.16,0.75,Erfurt,true
TR0013,1200,4.0,1.37,0.65,Bonn,true
TR0014,1200,10.0,1.77,0.91,Hanover,true
TR0015,800,6.0,0.97,0.99,Berlin,true
TR0016,1000,5.0,0.81,0.76,Cologne,true
TR0017,1200,6.0,0.85,0.97,Cologne,true
TR0018,1000,6.0,1.53,0.9,Hamburg,true
TR0019,1500,6.0,1.23,1.0,Cologne,true
TR0020,1200,7.5,1.11,0.64,Lubeck,true
TR0021,2000,5.0,1.21,0.62,Bonn,true
TR0022,1500,4.0,1.4,1.2,Karlsruhe,true
TR0023,800,4.0,1.14,0.61,Mainz,true
TR0024,800,4.0,1.55,0.93,Bielefeld,true
TR0025,1500,10.0,1.25,0.57,Kassel,true
TR0026,800,5.0,0.96,1.09,Lubeck,true
TR0027,800,10.0,0.87,1.17,Cologne,true
TR0028,1500,6.0,1.19,0.81,Kiel,true
TR0029,800,6.0,1.24,0.63,Hanover,true
TR0030,1200,6.0,1.41,0.54,Hanover,true
TR0031,1500,6.0,1.32,1.16,Bremen,true
TR0032,1000,10.0,1.71,0.57,Munich,true
TR0033,1200,5.0,0.83,1.2,Nuremberg,true
TR0034,800,4.0,1.12,0.64,Mannheim,true
TR0035,1000,10.0,1.38,0.58,Dortmund,true
TR0036,800,6.0,1.32,0.61,Rostock,true
TR0037,1000,6.0,1.13,0.64,Essen,true
TR0038,1500,5.0,0.86,1.08,Braunschweig,true
TR0039,1000,5.0,1.64,1.0,Bochum,true
TR0040,1500,10.0,1.0,0.92,Rostock,true
TR0041,800,10.0,0.98,1.1,Bonn,true
TR0042,800,5.0,1.48,1.12,Essen,true
TR0043,1200,10.0,1.57,1.1,Aachen,true
TR0044,1000,7.5,1.52,1.16,Dortmund,true
TR0045,800,5.0,1.67,0.91,Monchengladbach,true
TR0046,1500,5.0,1.3,0.81,Bochum,true
TR0047,1200,6.0,1.23,0.53,Nuremberg,true
TR0048,800,10.0,1.39,0.58,Aachen,true
TR0049,800,5.0,1.28,1.15,Cologne,true
TR0050,1500,10.0,1.61,0.73,Erfurt,true
TR0051,2000,7.5,1.32,1.12,Dusseldorf,true
TR0052,1000,4.0,0.99,1.18,Krefeld,true
TR0053,1500,6.0,1.48,0.64,Frankfurt,true
TR0054,2000,7.5,1.68,0.85,Essen,true
TR0055,1500,5.0,1.79,0.91,Dusseldorf,true
TR0056,1200,5.0,1.74,0.9,Krefeld,true
TR0057,800,10.0,1.02,0.97,Mannheim,true
TR0058,2000,10.0,1.57,0.65,Frankfurt,true
TR0059,2000,4.0,1.35,0.59,Kiel,true
TR0060,1500,4.0,1.33,0.99,Cologne,true
TR0061,1200,6.0,1.3,0.54,Munster,true
TR0062,800,6.0,1.72,0.69,Mainz,true
TR0063,2000,7.5,1.06,0.85,Duisburg,true
TR0064,2000,6.0,1.71,0.84,Mannheim,true
TR0065,1000,5.0,1.54,0.66,Erfurt,true
TR0066,800,6.0,1.4,1.11,Lubeck,true
TR0067,1200,10.0,1.16,0.64,Freiburg,true
TR0068,1000,4.0,0.89,0.54,Kiel,true
TR0069,2000,7.5,1.03,0.63,Duisburg,true
TR0070,1500,4.0,1.02,0.79,Bielefeld,true
TR0071,2000,6.0,1.53,1.12,Monchengladbach,true
TR0072,1000,10.0,1.08,0.66,Leipzig,true
TR0073,1200,4.0,1.4,0.54,Nuremberg,true
TR0074,2000,10.0,1.04,0.93,Rostock,true
TR0075,800,7.5,1.63,0.92,Braunschweig,true
TR0076,2000,4.0,1.54,1.11,Essen,true
TR0077,1000,10.0,1.65,0.68,Lubeck,true
TR0078,800,10.0,1.1,0.68,Bochum,true
TR0079,1000,7.5,1.51,1.14,Hamburg,true
TR0080,800,5.0,1.1,1.09,Rostock,true
TR0081,2000,4.0,1.07,0.59,Chemnitz,true
TR0082,1200,5.0,1.0,0.95,Lubeck,true
